"date","geography","geography code","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"2011","E00065212","E00065212","Total",255,3,6,4,19,0,7,4,12,4,28,57,23,51,18,13,6,51.1,56.0
"2011","E00065213","E00065213","Total",338,9,9,5,10,4,4,9,4,5,48,79,42,69,34,5,2,51.6,58.0
"2011","E00065214","E00065214","Total",135,4,4,2,7,1,3,0,8,1,17,23,24,33,6,2,0,49.6,58.0
"2011","E00065215","E00065215","Total",312,11,6,4,7,2,6,7,10,5,29,86,40,64,23,9,3,51.8,56.0
"2011","E00065216","E00065216","Total",229,5,4,2,11,1,5,0,17,10,30,53,25,45,19,1,1,48.5,52.0
"2011","E00065218","E00065218","Total",281,7,6,4,8,4,6,4,16,10,32,49,30,50,35,12,8,52.4,58.0
"2011","E00065235","E00065235","Total",311,17,6,4,15,5,11,12,13,17,36,82,20,46,25,2,0,44.1,48.0
"2011","E00065236","E00065236","Total",258,8,8,5,5,3,1,3,12,12,25,50,16,54,38,13,5,53.0,57.0
"2011","E00065239","E00065239","Total",180,3,1,3,2,1,1,2,3,3,25,45,24,43,21,2,1,55.8,60.0
"2011","E00065242","E00065242","Total",277,21,8,12,21,8,5,6,10,20,64,56,15,18,11,2,0,36.3,36.0
"2011","E00065270","E00065270","Total",416,35,12,4,31,9,7,13,21,21,83,74,36,42,21,5,2,39.4,39.0
"2011","E00065274","E00065274","Total",204,3,4,0,5,1,3,0,4,2,21,35,30,53,33,8,2,59.0,63.5
"2011","E00065276","E00065276","Total",263,11,5,2,5,2,5,5,14,5,35,51,32,52,30,5,4,51.7,57.0
"2011","E00065287","E00065287","Total",181,8,0,1,2,0,0,0,7,12,14,33,21,38,33,7,5,57.3,64.0
"2011","E00174850","E00174850","Total",247,11,2,4,9,1,4,3,13,14,24,53,23,45,28,9,4,50.7,56.0
"2011","E00175335","E00175335","Total",245,18,6,5,13,0,5,3,13,16,49,35,22,42,13,4,1,42.9,42.0
"2011","E00175336","E00175336","Total",289,18,9,2,17,2,6,4,6,9,43,47,34,69,23,0,0,47.1,54.0
"2011","E00175337","E00175337","Total",222,21,13,7,10,0,7,3,5,13,47,45,14,30,7,0,0,38.2,39.5
"2011","E00175367","E00175367","Total",206,3,3,2,8,0,2,2,6,3,34,37,29,36,30,9,2,54.6,60.0
"2011","E00065257","E00065257","Total",339,16,8,6,14,3,8,7,11,11,53,75,25,67,32,3,0,47.5,52.0
"2011","E00065269","E00065269","Total",275,13,6,1,8,1,4,4,5,6,41,43,25,59,46,11,2,53.7,61.0
"2011","E00065271","E00065271","Total",228,1,4,5,6,1,1,0,5,1,23,50,25,61,36,6,3,58.2,63.0
"2011","E00065273","E00065273","Total",215,0,1,4,12,2,5,3,3,3,15,33,34,62,26,8,4,57.5,64.0
"2011","E00175363","E00175363","Total",299,36,19,7,27,5,6,4,14,31,75,44,11,17,3,0,0,30.2,30.0
"2011","E00175365","E00175365","Total",256,25,8,9,20,3,7,2,8,17,57,48,16,25,7,3,1,36.9,36.5
"2011","E00175369","E00175369","Total",208,1,3,3,7,1,1,6,6,5,16,39,33,50,27,7,3,56.6,63.0
"2011","E00065259","E00065259","Total",480,12,10,9,24,2,11,6,11,10,71,81,46,117,58,10,2,51.6,58.5
"2011","E00065275","E00065275","Total",178,4,2,1,6,2,1,2,5,3,20,37,14,45,26,9,1,56.4,62.5
"2011","E00065278","E00065278","Total",225,2,2,2,9,2,2,1,1,9,24,39,16,58,46,10,2,58.8,65.0
"2011","E00065282","E00065282","Total",415,14,14,6,12,4,9,8,19,17,61,93,25,88,38,5,2,47.7,52.0
"2011","E00065285","E00065285","Total",206,2,2,1,5,0,1,0,6,1,25,56,25,36,33,6,7,58.3,61.0
"2011","E00065290","E00065290","Total",151,2,3,3,8,2,4,5,3,4,33,37,8,19,15,4,1,46.8,47.0
"2011","E00065280","E00065280","Total",271,8,7,1,14,5,9,5,5,7,33,65,18,52,29,10,3,50.3,54.0
"2011","E00065283","E00065283","Total",204,2,1,0,3,0,0,2,11,6,9,38,38,46,34,9,5,60.2,64.0
"2011","E00065284","E00065284","Total",217,4,3,4,7,3,2,6,11,2,27,44,20,34,39,8,3,53.7,59.0
"2011","E00065286","E00065286","Total",241,1,4,1,9,1,3,2,5,5,17,48,38,69,33,4,1,57.6,63.0
"2011","E00065289","E00065289","Total",240,2,6,1,4,0,1,2,3,3,24,47,36,65,38,5,3,58.6,63.0
"2011","E00065292","E00065292","Total",191,2,2,0,9,3,1,1,3,1,12,24,22,42,51,12,6,62.8,68.0
"2011","E00065228","E00065228","Total",361,18,17,8,24,6,13,11,20,23,67,71,29,28,18,7,1,38.8,38.0
"2011","E00065231","E00065231","Total",286,19,10,8,18,6,4,6,15,23,42,65,20,21,22,4,3,40.7,42.0
"2011","E00065233","E00065233","Total",300,20,12,5,19,8,7,4,19,22,49,67,11,27,21,8,1,40.0,40.0
"2011","E00065244","E00065244","Total",357,24,17,12,33,4,14,12,19,22,74,66,22,26,9,0,3,35.1,36.0
"2011","E00175340","E00175340","Total",295,21,10,5,13,3,0,9,28,31,66,53,21,23,8,2,2,37.4,36.0
"2011","E00175341","E00175341","Total",353,47,17,10,21,5,7,13,42,44,64,42,23,8,6,3,1,29.3,26.0
"2011","E00065217","E00065217","Total",283,11,9,8,21,5,7,3,5,3,61,54,23,45,23,5,0,45.3,47.0
"2011","E00065220","E00065220","Total",280,5,2,6,22,3,8,9,13,6,38,62,24,40,32,7,3,47.8,49.0
"2011","E00065227","E00065227","Total",291,10,8,4,9,3,5,7,15,16,44,70,23,38,28,9,2,47.4,51.0
"2011","E00065240","E00065240","Total",298,10,9,10,23,7,8,16,12,14,63,52,32,21,14,7,0,39.6,40.0
"2011","E00065243","E00065243","Total",272,7,2,1,20,4,5,3,3,4,24,52,26,67,41,10,3,54.7,63.0
"2011","E00065262","E00065262","Total",340,8,8,7,25,3,9,9,14,12,38,79,31,49,33,13,2,47.5,50.0
"2011","E00065266","E00065266","Total",253,3,5,2,5,3,5,2,3,3,24,38,34,72,40,12,2,58.3,64.0
"2011","E00065281","E00065281","Total",255,1,0,3,3,0,1,8,3,2,11,40,21,64,65,15,18,65.8,69.0
"2011","E00065293","E00065293","Total",176,1,3,2,6,0,3,3,4,2,13,35,23,38,32,7,4,58.4,63.0
"2011","E00065294","E00065294","Total",284,12,9,4,9,0,4,6,12,7,49,52,30,54,18,13,5,49.4,52.0
"2011","E00065249","E00065249","Total",236,4,2,1,2,0,2,2,6,3,11,53,42,75,25,6,2,59.4,64.0
"2011","E00065250","E00065250","Total",267,15,8,7,22,6,7,9,13,10,52,42,22,37,11,3,3,40.5,41.0
"2011","E00065251","E00065251","Total",257,9,5,3,16,4,6,13,20,8,30,55,23,39,21,4,1,44.5,46.0
"2011","E00065252","E00065252","Total",231,1,2,4,6,2,3,2,1,4,13,47,40,55,37,11,3,59.6,63.0
"2011","E00065253","E00065253","Total",266,3,2,2,6,2,3,2,7,6,25,51,27,79,38,8,5,58.4,64.0
"2011","E00065254","E00065254","Total",247,3,2,2,3,5,5,5,7,3,20,64,39,50,26,13,0,55.7,60.0
"2011","E00065255","E00065255","Total",403,7,11,7,15,4,8,11,16,6,46,99,57,80,25,8,3,49.9,56.0
"2011","E00065256","E00065256","Total",254,8,8,6,13,1,2,8,5,2,44,55,40,43,13,5,1,48.2,53.5
"2011","E00065260","E00065260","Total",273,4,3,0,12,2,7,4,5,4,27,51,32,65,39,12,6,57.1,63.0
"2011","E00065272","E00065272","Total",215,4,9,1,12,3,1,2,5,7,24,28,28,58,23,8,2,53.2,62.0
"2011","E00065277","E00065277","Total",184,4,3,3,6,0,4,3,6,5,19,43,21,38,20,7,2,53.3,59.0
"2011","E00065279","E00065279","Total",164,3,1,2,3,0,1,1,4,1,9,28,25,46,27,12,1,61.2,65.0
"2011","E00065288","E00065288","Total",207,0,0,0,5,1,6,4,3,1,5,42,16,52,46,21,5,64.2,70.0
"2011","E00065291","E00065291","Total",183,3,2,1,3,0,1,1,1,4,10,20,19,54,47,8,9,64.6,71.0
"2011","E00065219","E00065219","Total",299,22,8,4,13,2,17,6,21,16,46,78,28,25,10,2,1,39.5,42.0
"2011","E00065230","E00065230","Total",331,36,22,14,39,7,12,5,18,16,82,36,17,15,7,5,0,30.2,28.0
"2011","E00065237","E00065237","Total",269,24,13,4,7,5,9,11,19,15,52,53,20,24,11,2,0,37.4,37.0
"2011","E00065238","E00065238","Total",313,31,16,11,30,2,4,4,14,30,49,47,17,33,20,5,0,36.8,33.0
"2011","E00065247","E00065247","Total",194,11,6,0,9,0,4,3,14,10,30,25,14,34,21,12,1,48.3,50.0
"2011","E00065248","E00065248","Total",274,30,14,7,20,3,3,9,13,18,43,31,21,44,12,4,2,38.1,35.5
"2011","E00065221","E00065221","Total",298,28,12,6,13,4,10,5,16,19,47,60,20,35,23,0,0,39.9,42.0
"2011","E00065222","E00065222","Total",267,15,8,5,11,2,5,1,11,6,17,44,21,54,44,15,8,53.9,61.0
"2011","E00065226","E00065226","Total",218,10,8,3,7,3,5,3,8,14,34,22,26,33,36,3,3,48.8,55.0
"2011","E00065241","E00065241","Total",266,18,9,1,4,1,7,13,22,10,31,43,34,37,25,8,3,46.6,51.0
"2011","E00065245","E00065245","Total",223,14,4,6,7,2,6,13,13,8,27,31,26,25,29,8,4,46.6,49.0
"2011","E00065246","E00065246","Total",308,8,4,4,17,2,4,2,8,16,58,67,36,46,24,7,5,49.2,52.0
"2011","E00065224","E00065224","Total",260,13,4,1,12,2,4,9,24,26,46,45,13,36,18,5,2,42.5,42.0
"2011","E00065225","E00065225","Total",219,2,3,4,7,1,4,2,7,4,23,42,34,56,23,5,2,55.0,62.0
"2011","E00065229","E00065229","Total",323,33,22,8,32,5,11,9,14,15,69,37,17,33,15,2,1,34.4,34.0
"2011","E00065232","E00065232","Total",381,36,34,13,37,8,20,15,18,24,77,47,19,21,10,0,2,30.1,27.0
"2011","E00065234","E00065234","Total",454,22,21,10,34,8,15,12,35,29,94,71,29,33,29,10,2,38.4,37.0
"2011","E00065295","E00065295","Total",219,13,5,4,9,3,2,6,10,16,26,29,18,40,23,8,7,48.5,54.0
"2011","E00065306","E00065306","Total",286,21,14,6,23,3,7,10,8,12,57,50,20,27,20,6,2,39.9,40.0
"2011","E00065310","E00065310","Total",247,17,7,3,14,5,10,10,13,16,44,48,10,30,14,6,0,39.7,41.0
"2011","E00065313","E00065313","Total",246,27,12,7,9,4,6,8,19,11,47,40,11,29,13,1,2,37.2,37.0
"2011","E00065323","E00065323","Total",310,18,11,8,15,3,6,6,13,20,40,53,19,41,25,17,15,47.3,50.0
"2011","E00065341","E00065341","Total",309,25,21,14,32,5,10,9,10,13,64,49,23,18,13,3,0,33.9,33.0
"2011","E00065301","E00065301","Total",260,17,8,4,12,5,5,6,14,17,30,49,17,49,22,2,3,44.8,50.0
"2011","E00065328","E00065328","Total",351,11,10,7,14,4,6,4,14,11,54,88,25,35,46,12,10,49.6,53.0
"2011","E00065343","E00065343","Total",279,25,8,5,11,8,12,5,19,14,43,46,23,38,19,2,1,40.7,42.0
