"date","geography","geography code","Rural Urban","Sex: All persons; Occupation: All categories: Occupation; measures: Value","Sex: All persons; Occupation: 1. Managers, directors and senior officials; measures: Value","Sex: All persons; Occupation: 2. Professional occupations; measures: Value","Sex: All persons; Occupation: 3. Associate professional and technical occupations; measures: Value","Sex: All persons; Occupation: 4. Administrative and secretarial occupations; measures: Value","Sex: All persons; Occupation: 5. Skilled trades occupations; measures: Value","Sex: All persons; Occupation: 6. Caring, leisure and other service occupations; measures: Value","Sex: All persons; Occupation: 7. Sales and customer service occupations; measures: Value","Sex: All persons; Occupation: 8. Process plant and machine operatives; measures: Value","Sex: All persons; Occupation: 9. Elementary occupations; measures: Value","Sex: Males; Occupation: All categories: Occupation; measures: Value","Sex: Males; Occupation: 1. Managers, directors and senior officials; measures: Value","Sex: Males; Occupation: 2. Professional occupations; measures: Value","Sex: Males; Occupation: 3. Associate professional and technical occupations; measures: Value","Sex: Males; Occupation: 4. Administrative and secretarial occupations; measures: Value","Sex: Males; Occupation: 5. Skilled trades occupations; measures: Value","Sex: Males; Occupation: 6. Caring, leisure and other service occupations; measures: Value","Sex: Males; Occupation: 7. Sales and customer service occupations; measures: Value","Sex: Males; Occupation: 8. Process plant and machine operatives; measures: Value","Sex: Males; Occupation: 9. Elementary occupations; measures: Value","Sex: Females; Occupation: All categories: Occupation; measures: Value","Sex: Females; Occupation: 1. Managers, directors and senior officials; measures: Value","Sex: Females; Occupation: 2. Professional occupations; measures: Value","Sex: Females; Occupation: 3. Associate professional and technical occupations; measures: Value","Sex: Females; Occupation: 4. Administrative and secretarial occupations; measures: Value","Sex: Females; Occupation: 5. Skilled trades occupations; measures: Value","Sex: Females; Occupation: 6. Caring, leisure and other service occupations; measures: Value","Sex: Females; Occupation: 7. Sales and customer service occupations; measures: Value","Sex: Females; Occupation: 8. Process plant and machine operatives; measures: Value","Sex: Females; Occupation: 9. Elementary occupations; measures: Value"
"2011","North East","E12000001","Total",1152970,99240,175405,126594,137205,137654,117162,119542,99960,140208,595928,61574,81457,75101,30824,124178,21854,37226,89946,73768,557042,37666,93948,51493,106381,13476,95308,82316,10014,66440
"2011","North West","E12000002","Total",3228744,319397,527222,372198,379397,364515,325284,304477,260431,375823,1684917,203601,250848,212461,87093,326441,60205,107272,230858,206138,1543827,115796,276374,159737,292304,38074,265079,197205,29573,169685
"2011","Yorkshire and The Humber","E12000003","Total",2428074,240292,374316,277852,265208,298008,234333,220859,214439,302767,1283364,154677,177277,159935,56985,267428,40515,74125,188534,163888,1144710,85615,197039,117917,208223,30580,193818,146734,25905,138879
"2011","East Midlands","E12000004","Total",2146541,227040,326868,242655,234235,259854,204216,180368,198578,272727,1135325,149130,159158,140236,47516,230744,34800,59590,167513,146638,1011216,77910,167710,102419,186719,29110,169416,120778,31065,126089
"2011","West Midlands","E12000005","Total",2536876,255592,401102,282595,289595,309088,241235,216918,223017,317734,1348542,168368,194028,162698,60815,275845,42001,75990,194082,174715,1188334,87224,207074,119897,228780,33243,199234,140928,28935,143019
"2011","East","E12000006","Total",2849512,324015,476413,366335,341028,340617,264989,224452,208251,303412,1521572,215256,244168,217602,68685,305526,45193,76391,183085,165666,1327940,108759,232245,148733,272343,35091,219796,148061,25166,137746
"2011","London","E12000007","Total",3998897,464272,898018,651058,466488,332674,314023,299222,189123,384019,2135797,299559,461206,364412,127972,291552,72646,132165,170514,215771,1863100,164713,436812,286646,338516,41122,241377,167057,18609,168248
"2011","South East","E12000008","Total",4260723,521978,798224,589352,488467,473290,397104,336150,242998,413160,2259439,345662,413951,344260,99304,422395,70956,120396,215260,227255,2001284,176316,384273,245092,389163,50895,326148,215754,27738,185905
"2011","South West","E12000009","Total",2560384,283074,422807,310428,281607,342980,250304,215489,171227,282468,1350401,179638,210444,183517,58094,303243,41678,73313,149127,151347,1209983,103436,212363,126911,223513,39737,208626,142176,22100,131121
"2011","Wales","W92000004","Total",1363615,125802,215384,147246,151407,183277,143467,123392,110993,162647,712960,78193,97905,85790,34931,161676,26995,41237,97187,89046,650655,47609,117479,61456,116476,21601,116472,82155,13806,73601
