"date","geography","geography code","Industry: All categories: Industry; Age: All categories: Age 16 and over; measures: Value","Industry: All categories: Industry; Age: Age 16 to 24; measures: Value","Industry: All categories: Industry; Age: Age 25 to 34; measures: Value","Industry: All categories: Industry; Age: Age 35 to 49; measures: Value","Industry: All categories: Industry; Age: Age 50 to 64; measures: Value","Industry: All categories: Industry; Age: Age 65 and over; measures: Value","Industry: A, B, D, E Agriculture, energy and water; Age: All categories: Age 16 and over; measures: Value","Industry: A, B, D, E Agriculture, energy and water; Age: Age 16 to 24; measures: Value","Industry: A, B, D, E Agriculture, energy and water; Age: Age 25 to 34; measures: Value","Industry: A, B, D, E Agriculture, energy and water; Age: Age 35 to 49; measures: Value","Industry: A, B, D, E Agriculture, energy and water; Age: Age 50 to 64; measures: Value","Industry: A, B, D, E Agriculture, energy and water; Age: Age 65 and over; measures: Value","Industry: C Manufacturing; Age: All categories: Age 16 and over; measures: Value","Industry: C Manufacturing; Age: Age 16 to 24; measures: Value","Industry: C Manufacturing; Age: Age 25 to 34; measures: Value","Industry: C Manufacturing; Age: Age 35 to 49; measures: Value","Industry: C Manufacturing; Age: Age 50 to 64; measures: Value","Industry: C Manufacturing; Age: Age 65 and over; measures: Value","Industry: F Construction; Age: All categories: Age 16 and over; measures: Value","Industry: F Construction; Age: Age 16 to 24; measures: Value","Industry: F Construction; Age: Age 25 to 34; measures: Value","Industry: F Construction; Age: Age 35 to 49; measures: Value","Industry: F Construction; Age: Age 50 to 64; measures: Value","Industry: F Construction; Age: Age 65 and over; measures: Value","Industry: G, I Distribution, hotels and restaurants; Age: All categories: Age 16 and over; measures: Value","Industry: G, I Distribution, hotels and restaurants; Age: Age 16 to 24; measures: Value","Industry: G, I Distribution, hotels and restaurants; Age: Age 25 to 34; measures: Value","Industry: G, I Distribution, hotels and restaurants; Age: Age 35 to 49; measures: Value","Industry: G, I Distribution, hotels and restaurants; Age: Age 50 to 64; measures: Value","Industry: G, I Distribution, hotels and restaurants; Age: Age 65 and over; measures: Value","Industry: H, J Transport and communication; Age: All categories: Age 16 and over; measures: Value","Industry: H, J Transport and communication; Age: Age 16 to 24; measures: Value","Industry: H, J Transport and communication; Age: Age 25 to 34; measures: Value","Industry: H, J Transport and communication; Age: Age 35 to 49; measures: Value","Industry: H, J Transport and communication; Age: Age 50 to 64; measures: Value","Industry: H, J Transport and communication; Age: Age 65 and over; measures: Value","Industry: K, L, M, N Financial, Real Estate, Professional and Administrative activities; Age: All categories: Age 16 and over; measures: Value","Industry: K, L, M, N Financial, Real Estate, Professional and Administrative activities; Age: Age 16 to 24; measures: Value","Industry: K, L, M, N Financial, Real Estate, Professional and Administrative activities; Age: Age 25 to 34; measures: Value","Industry: K, L, M, N Financial, Real Estate, Professional and Administrative activities; Age: Age 35 to 49; measures: Value","Industry: K, L, M, N Financial, Real Estate, Professional and Administrative activities; Age: Age 50 to 64; measures: Value","Industry: K, L, M, N Financial, Real Estate, Professional and Administrative activities; Age: Age 65 and over; measures: Value","Industry: O, P, Q Public administration, education and health; Age: All categories: Age 16 and over; measures: Value","Industry: O, P, Q Public administration, education and health; Age: Age 16 to 24; measures: Value","Industry: O, P, Q Public administration, education and health; Age: Age 25 to 34; measures: Value","Industry: O, P, Q Public administration, education and health; Age: Age 35 to 49; measures: Value","Industry: O, P, Q Public administration, education and health; Age: Age 50 to 64; measures: Value","Industry: O, P, Q Public administration, education and health; Age: Age 65 and over; measures: Value","Industry: R, S, T, U Other; Age: All categories: Age 16 and over; measures: Value","Industry: R, S, T, U Other; Age: Age 16 to 24; measures: Value","Industry: R, S, T, U Other; Age: Age 25 to 34; measures: Value","Industry: R, S, T, U Other; Age: Age 35 to 49; measures: Value","Industry: R, S, T, U Other; Age: Age 50 to 64; measures: Value","Industry: R, S, T, U Other; Age: Age 65 and over; measures: Value"
"2011","E00004482","E00004482",163,13,41,49,49,11,2,0,1,0,1,0,1,0,0,1,0,0,4,0,0,1,2,1,15,3,5,4,2,1,30,2,9,12,6,1,49,4,14,17,12,2,47,2,9,10,21,5,15,2,3,4,5,1
"2011","E00004497","E00004497",109,8,29,45,22,5,3,1,1,1,0,0,3,0,0,2,0,1,8,1,1,5,1,0,13,1,4,3,3,2,20,0,3,10,6,1,23,1,9,10,3,0,34,3,9,12,9,1,5,1,2,2,0,0
"2011","E00004498","E00004498",143,9,38,64,26,6,0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,0,3,0,24,5,6,9,3,1,19,1,6,8,2,2,33,0,8,21,3,1,53,2,18,20,11,2,9,1,0,6,2,0
"2011","E00004502","E00004502",99,13,33,30,21,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,15,4,8,2,0,1,14,2,5,6,0,1,21,2,5,9,5,0,39,4,11,10,14,0,8,1,3,3,1,0
"2011","E00004505","E00004505",129,16,31,55,23,4,3,1,0,1,1,0,3,0,2,0,1,0,8,0,2,6,0,0,16,6,4,3,1,2,16,1,3,10,2,0,30,4,7,12,6,1,39,4,11,12,11,1,14,0,2,11,1,0
"2011","E00004481","E00004481",123,14,23,50,33,3,2,1,0,0,1,0,3,0,0,0,3,0,7,1,2,2,2,0,19,8,5,1,5,0,9,0,5,2,2,0,25,3,5,11,6,0,47,0,3,28,13,3,11,1,3,6,1,0
"2011","E00004493","E00004493",104,3,37,51,11,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,12,1,5,5,0,1,11,0,2,7,2,0,22,1,12,7,2,0,41,1,9,26,4,1,16,0,7,6,3,0
"2011","E00004500","E00004500",111,5,37,45,21,3,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,2,0,10,0,6,3,1,0,14,2,4,8,0,0,29,2,13,12,2,0,40,1,11,13,12,3,14,0,2,9,3,0
"2011","E00004501","E00004501",70,6,19,25,17,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,4,1,0,3,0,0,22,3,10,7,2,0,32,2,8,12,8,2,10,0,1,2,6,1
"2011","E00004503","E00004503",92,5,19,40,25,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,13,4,3,3,3,0,6,0,0,3,2,1,25,0,6,10,7,2,33,0,7,18,8,0,12,1,3,4,4,0
"2011","E00004506","E00004506",137,12,52,43,24,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,1,0,1,20,7,5,4,2,2,20,1,10,4,5,0,38,2,19,11,6,0,40,1,12,17,7,3,14,1,3,6,4,0
"2011","E00004507","E00004507",128,4,18,58,35,13,1,0,0,0,1,0,4,0,0,1,2,1,3,0,0,2,1,0,10,2,1,1,4,2,16,0,2,10,3,1,43,1,11,21,9,1,37,1,1,16,13,6,14,0,3,7,2,2
"2011","E00004504","E00004504",180,16,31,47,67,19,0,0,0,0,0,0,2,1,0,0,1,0,4,0,0,2,2,0,20,6,3,4,6,1,19,1,4,6,6,2,65,4,12,16,28,5,58,2,8,16,21,11,12,2,4,3,3,0
"2011","E00004508","E00004508",159,6,42,42,54,15,3,0,0,0,2,1,4,0,2,1,0,1,2,0,0,1,1,0,18,3,11,2,2,0,27,1,6,12,8,0,46,1,9,12,18,6,43,1,12,9,14,7,16,0,2,5,9,0
"2011","E00004509","E00004509",148,12,23,56,45,12,0,0,0,0,0,0,7,0,0,2,4,1,3,0,1,2,0,0,12,1,4,3,4,0,16,2,3,8,3,0,40,4,7,16,9,4,57,3,6,23,20,5,13,2,2,2,5,2
